problem_id,subject,level,english_complete,chinese_complete,english_correct,chinese_correct,english_tokens,chinese_tokens,english_output_tokens,chinese_output_tokens,english_answer,chinese_answer,expected_answer,token_ratio_cn_en,agreement,translation_tokens
45,Prealgebra,2,True,True,True,True,896,1087,822,1016,23,23,23,1.2131696428571428,True,205
46,Algebra,2,True,True,True,True,1786,1409,1670,1293,49,49,49,0.7889137737961927,True,288
47,Prealgebra,2,True,True,True,True,1298,1065,1233,1002,326.5,326.5,326.5,0.8204930662557781,True,184
48,Algebra,2,True,True,True,True,1533,1095,1457,1029,4005,4005,4005,0.7142857142857143,True,200
49,Precalculus,2,True,True,False,True,1654,1851,1554,1749,E,E,\text{(E)},1.1191051995163241,False,266
50,Algebra,2,True,True,True,True,954,1062,876,989,"(-1, 6)","(-1, 6)","(-1,6)",1.1132075471698113,True,214
51,Algebra,2,True,True,True,True,822,910,755,846,5r^5,5r^5,5r^5,1.1070559610705597,True,193
52,Prealgebra,2,True,True,True,True,1027,894,963,833,6,6,6,0.8704965920155794,True,187
53,Intermediate Algebra,2,True,True,True,True,5235,4505,5138,4405,even,\text{偶函数},\text{even},0.8605539637058262,True,259
54,Algebra,2,True,True,True,True,784,858,720,796,3,3,3,1.094387755102041,True,188
55,Precalculus,2,True,True,True,True,3279,1708,3199,1633,"(-\infty, 0]","(-\infty, 0]","(-\infty, 0]",0.5208905154010369,True,213
56,Algebra,2,True,True,True,True,850,750,770,674,7,7,7,0.8823529411764706,True,218
57,Algebra,2,True,True,True,True,1262,1287,1194,1222,2,2,2,1.0198098256735342,True,191
58,Counting & Probability,2,True,True,True,True,1601,1119,1540,1066,1260,1260,1260,0.6989381636477202,True,179
59,Algebra,2,True,True,True,True,1108,1147,1034,1078,8000,8000,8000,1.0351985559566788,True,197
60,Number Theory,2,True,True,True,True,1621,1491,1545,1425,9,9,9,0.919802590993214,True,207
61,Intermediate Algebra,2,True,True,True,True,1226,1528,1132,1437,\frac{4}{3},\frac{4}{3},\frac43,1.2463295269168027,True,249
62,Algebra,2,True,True,True,True,1115,1117,1023,1025,29,29,29,1.0017937219730941,True,249
63,Intermediate Algebra,2,True,True,True,True,7551,4907,7366,4723,\text{B},B,\text{(B)},0.6498477022910872,True,442
64,Prealgebra,2,True,True,True,True,891,845,833,790,4.5,4.5,4.5,0.9483726150392817,True,174
65,Prealgebra,2,True,True,True,True,827,693,757,624,15x - 80,15x - 80,15x - 80,0.837968561064087,True,196
66,Prealgebra,2,True,True,True,True,1922,1495,1843,1413,6,6,6,0.7778355879292403,True,216
67,Number Theory,2,True,True,True,True,1424,1573,1357,1512,18,18,18,1.1046348314606742,True,186
68,Counting & Probability,2,True,True,True,True,1914,1247,1857,1193,4495,4495,4495,0.6515151515151515,True,167
69,Intermediate Algebra,2,True,True,True,True,1992,1266,1882,1158,5,5,5,0.6355421686746988,True,282
70,Number Theory,2,True,True,True,True,1674,1368,1618,1315,4,4,4,0.8172043010752689,True,168
71,Prealgebra,2,True,True,True,True,1596,1272,1524,1199,5,5,5,0.7969924812030075,True,207
72,Number Theory,2,True,True,True,True,5111,1435,5029,1358,16,16,16,0.28076697319506944,True,213
73,Counting & Probability,2,True,True,True,True,1063,822,989,751,28,28,28,0.7732831608654751,True,213
74,Precalculus,2,True,True,True,True,1441,1336,1307,1211,"\left( \dfrac{3}{2}, -13 \right)","\left( \frac{3}{2}, -13 \right)","\left( \frac{3}{2}, -13 \right)",0.9271339347675226,True,325
75,Counting & Probability,2,True,True,True,True,1732,1240,1653,1167,58500,58500,"58,500",0.7159353348729792,True,221
76,Intermediate Algebra,2,True,True,True,True,3027,3498,2929,3406,\text{ellipse},\text{椭圆},\text{ellipse},1.155599603567889,True,255
77,Prealgebra,2,True,True,True,True,1018,1039,944,970,17,17,17,1.0206286836935168,True,203
78,Precalculus,2,False,True,False,True,8341,1358,8191,1206,. i need to think about it,30,30^\circ,0.16281021460256564,False,350
79,Algebra,2,True,True,True,True,874,679,788,595,0,0,0,0.7768878718535469,True,228
80,Algebra,2,True,True,True,True,1016,711,951,652,2,2,2,0.6998031496062992,True,188
81,Precalculus,2,True,True,True,True,3378,2348,3288,2261,0.09,0.09,\frac{9}{100},0.6950858496151568,True,241
82,Intermediate Algebra,2,True,True,True,True,6157,1624,6067,1534,\dfrac{6}{5},\dfrac{6}{5},\frac65,0.26376482052947864,True,239
83,Geometry,2,True,True,True,True,1372,1174,1291,1096,31,31,31,0.8556851311953353,True,222
84,Prealgebra,2,True,True,True,False,6260,2006,6059,1956,21,\text{缺少必要的尺寸},21,0.32044728434504793,False,300
85,Prealgebra,2,True,True,True,True,1564,1191,1496,1127,60,60,60,0.7615089514066496,True,188
86,Intermediate Algebra,2,True,True,True,True,7421,3734,7335,3649,3,3,3,0.5031666891254548,True,231
87,Geometry,2,True,True,True,True,1292,967,1210,895,3,3,3,0.7484520123839009,True,219
88,Geometry,2,True,True,True,True,1173,1113,1090,1035,4,4,4,0.948849104859335,True,223
89,Algebra,2,True,True,True,False,1774,1226,1669,1137,8,\dfrac{2}{3},8,0.6910935738444194,False,258
90,Geometry,2,False,False,True,False,8481,8269,8191,8191,", which makes sense because the condition ad=bd=cd with d on bc forces angle at a to be right, regardless of the other angles (as long as they're positive and sum correctly)",，说明可能我的图形理解有误,90^\circ,0.9750029477655937,False,397
91,Geometry,2,True,True,True,True,1341,1143,1271,1079,12,12,12,0.8523489932885906,True,197
92,Algebra,2,True,True,True,True,1461,1452,1387,1380,\frac{9a + 11}{20},\frac{9a + 11}{20},\frac{11+9a}{20},0.9938398357289527,True,208
93,Algebra,2,True,True,True,True,4124,1812,4034,1719,12,12,12,0.4393792434529583,True,237
94,Precalculus,2,False,True,True,True,8258,4549,8191,4485,-\sqrt{3},-\sqrt{3},-\sqrt{3},0.5508597723419715,True,184
95,Algebra,2,True,True,True,True,891,850,838,800,6,6,6,0.9539842873176206,True,161
96,Geometry,2,True,True,True,True,1627,1396,1521,1289,"(2, 4)","(2, 4)","(2,4)",0.858020897357099,True,277
97,Prealgebra,2,True,True,True,True,859,991,797,932,2k + 2,2k + 2,2k+2,1.1536670547147847,True,183
98,Prealgebra,2,True,True,True,True,1120,694,1043,626,1251,1251,1251,0.6196428571428572,True,207
99,Precalculus,2,True,True,True,True,1336,902,1244,807,"(3, \frac{\pi}{2})","(3, \frac{\pi}{2})","\left( 3, \frac{\pi}{2} \right)",0.6751497005988024,True,248
100,Precalculus,2,True,True,True,True,1834,1575,1763,1507,\cot x,\cot x,\cot x,0.8587786259541985,True,201
101,Intermediate Algebra,2,True,True,True,True,1384,1553,1300,1476,0,0,0,1.1221098265895955,True,224
102,Prealgebra,2,True,True,True,True,1645,1141,1538,1035,200,200,200,0.6936170212765957,True,273
103,Prealgebra,2,True,True,False,True,2758,2323,2528,2098,15,15,15\mbox{ cm}^2,0.8422770123277737,False,503
104,Geometry,2,True,True,True,True,1333,1083,1255,1010,3,3,3,0.8124531132783196,True,215
105,Number Theory,2,True,True,False,False,3793,1182,3727,1116,40,40,40_9,0.3116266807276562,True,189
106,Algebra,2,True,True,True,True,2068,2394,1976,2314,143,143,143,1.1576402321083172,True,237
107,Algebra,2,True,True,True,True,1314,1069,1207,984,10,10,10,0.8135464231354642,True,251
108,Prealgebra,2,True,True,True,True,1125,1051,1000,917,78,78,78,0.9342222222222222,True,330
109,Precalculus,2,True,True,True,True,1490,1245,1411,1175,-2 + 7i,-2 + 7i,-2 + 7i,0.8355704697986577,True,210
110,Counting & Probability,2,True,True,True,True,1236,839,1173,785,6,6,6,0.6788025889967637,True,181
111,Counting & Probability,2,True,True,True,True,1196,1095,1074,986,225,225,225,0.9155518394648829,True,311
112,Prealgebra,2,True,True,True,True,1247,946,1154,859,5,5,5,0.7586206896551724,True,246
113,Intermediate Algebra,2,True,True,True,True,1647,1211,1549,1113,16,16,16,0.7352762598664238,True,257
114,Prealgebra,2,True,True,True,True,1049,917,992,861,0.15,0.15,0.15,0.8741658722592945,True,172
115,Precalculus,2,True,True,True,True,1149,1216,1078,1147,-\frac{\pi}{6},-\frac{\pi}{6},-\frac{\pi}{6},1.0583115752828547,True,202
116,Number Theory,2,True,True,True,True,1387,1474,1302,1388,3,3,3,1.0627253064167268,True,233
117,Intermediate Algebra,2,True,True,True,True,2913,2581,2847,2515,x^5 - x^4 + x^3 - x^2 + x - 1,x^5 - x^4 + x^3 - x^2 + x - 1,x^5 - x^4 + x^3 - x^2 + x - 1,0.8860281496738758,True,192
118,Intermediate Algebra,2,True,True,True,True,2514,3049,2440,2977,"3, 5, 7","3,\ 5,\ 7","3, 5, 7",1.2128082736674621,True,206
119,Number Theory,2,True,True,True,True,5600,2341,5452,2188,59,59,59,0.4180357142857143,True,357
120,Algebra,2,True,True,True,True,1122,945,1051,877,2,2,2,0.8422459893048129,True,200
121,Algebra,2,True,True,True,True,1003,811,940,752,\frac{3}{2},\dfrac{3}{2},\frac{3}{2},0.8085742771684945,True,187
122,Prealgebra,2,True,True,True,True,912,1232,757,1080,12,12,12,1.3508771929824561,True,345
123,Precalculus,2,True,True,True,True,7368,5515,7280,5432,6,6,6,0.7485070575461455,True,231
124,Precalculus,2,True,True,True,True,4489,2651,4384,2546,1,1,1,0.5905546892403654,True,271
125,Counting & Probability,2,False,True,False,True,8436,3877,8191,3635,", even though the labels don't match",13,13,0.4595779990516833,False,552
126,Algebra,2,True,True,True,True,1107,1027,1023,948,4,4,4,0.9277326106594399,True,225
127,Intermediate Algebra,2,True,True,True,True,5578,2412,5511,2348,2,2,2,0.4324130512728577,True,189
128,Algebra,2,True,True,True,True,2526,1881,2143,1509,\text{Evelyn},\text{Evelyn},\text{Evelyn},0.7446555819477435,True,792
129,Geometry,2,True,True,True,True,1061,965,842,753,5,5,5,0.9095193213949104,True,489
130,Precalculus,2,True,True,True,True,1626,1414,1502,1293,-4,-4,-4,0.8696186961869619,True,307
131,Number Theory,2,True,True,True,True,1724,1508,1664,1447,0.35625,0.35625,.35625,0.8747099767981439,True,175
132,Prealgebra,2,True,True,True,True,1453,1157,1368,1078,42,42,42,0.7962835512732278,True,229
133,Number Theory,2,True,True,True,True,4638,1267,4564,1196,4,4,4,0.2731780940060371,True,201
134,Number Theory,3,True,True,False,False,4898,1331,4830,1263,52,52,52_8,0.2717435688035933,True,200
135,Prealgebra,3,True,True,True,True,1082,962,983,867,84,84,84,0.88909426987061,True,248
136,Algebra,3,True,True,True,True,1416,833,1338,757,1,1,1,0.588276836158192,True,214
137,Algebra,3,True,True,True,True,1211,1131,1102,1014,56,56,56,0.9339388934764657,True,279
138,Counting & Probability,3,True,True,True,True,1365,1107,1280,1033,6,6,6,0.810989010989011,True,229
139,Algebra,3,True,True,True,True,1287,958,1226,900,25,25,25,0.7443667443667443,True,177
140,Precalculus,3,True,True,True,True,7880,3635,7759,3517,\dfrac{1}{16},\dfrac{1}{16},\frac{1}{16},0.4612944162436548,True,291
141,Number Theory,3,True,True,True,True,6726,4114,6658,4052,14,14,14,0.6116562592922985,True,191
142,Number Theory,3,True,True,True,True,1378,1125,1320,1073,9,9,9,0.816400580551524,True,168
143,Algebra,3,True,True,True,True,1667,1549,1564,1446,6r^2 - 4r - 24,6r^2 - 4r - 24,6r^2-4r-24,0.9292141571685663,True,267
144,Intermediate Algebra,3,True,True,True,True,3133,2310,3054,2233,9,9,9,0.7373124800510693,True,221
145,Geometry,3,True,True,True,True,2008,3333,1924,3252,216,216,216,1.6598605577689243,True,238
146,Algebra,3,True,True,True,True,1415,1219,1324,1129,\frac{14}{3},\dfrac{14}{3},\frac{14}{3},0.8614840989399293,True,244
147,Number Theory,3,True,True,True,True,1698,1181,1633,1121,255,255,255,0.6955241460541813,True,184
148,Geometry,3,True,True,True,True,1280,1018,1202,951,72,72,72,0.7953125,True,210
149,Intermediate Algebra,3,True,True,True,True,1629,1817,1552,1742,\dfrac{5}{13},\dfrac{5}{13},\frac{5}{13},1.1154082259054634,True,216
150,Prealgebra,3,True,True,True,True,1181,1254,1098,1173,1,1,1,1.0618120237087214,True,222
151,Precalculus,3,True,True,True,True,5658,1978,5465,1790,"(-2, -14, -7)",\begin{pmatrix} -2 \\ -14 \\ -7 \end{pmatrix},\begin{pmatrix} -2 \\ -14 \\ -7 \end{pmatrix},0.34959349593495936,True,435
152,Intermediate Algebra,3,True,True,True,True,4660,2155,4558,2052,12,12,12,0.4624463519313305,True,257
153,Number Theory,3,True,True,True,True,1833,1442,1762,1380,23,23,23,0.7866884888161484,True,186
154,Precalculus,3,False,True,True,True,8335,6221,8191,6082,11,11,11,0.746370725854829,True,344
155,Counting & Probability,3,True,True,True,True,1952,1386,1879,1319,10080,10080,"10,\!080",0.7100409836065574,True,205
156,Precalculus,3,True,True,True,True,2711,2097,2440,1832,\dfrac{7}{4},\dfrac{7}{4},\frac{7}{4},0.7735153080044264,True,598
157,Intermediate Algebra,3,False,True,True,True,8289,5265,8191,5171,should be 4,4,4,0.6351791530944625,True,257
158,Geometry,3,True,True,True,True,2416,2162,2333,2080,30,30,30,0.8948675496688742,True,220
159,Number Theory,3,True,True,True,True,1601,1155,1534,1086,1,1,1,0.7214241099312929,True,199
160,Number Theory,3,True,True,True,True,2365,1397,2302,1337,27,27,27,0.5906976744186047,True,185
161,Number Theory,3,True,True,True,True,2797,1853,2724,1787,900,900,900,0.6624955309259921,True,201
162,Number Theory,3,False,True,False,True,8268,4065,8191,3993,. but for a number like 0,14,14,0.49165457184325106,False,211
163,Prealgebra,3,True,True,True,True,553,647,490,587,\frac{1}{8},\dfrac{1}{8},\frac{1}{8},1.1699819168173597,True,188
164,Prealgebra,3,True,True,True,True,1989,2003,1917,1934,\frac{8}{21},\dfrac{8}{21},\frac{8}{21},1.0070387129210658,True,201
165,Intermediate Algebra,3,False,True,False,True,8283,4514,8191,4425,. i need to think about it,3,3,0.5449716286369672,False,244
166,Algebra,3,True,True,True,True,827,1062,754,991,-128,-128,-128,1.2841596130592503,True,204
167,Algebra,3,True,True,True,True,1064,1024,981,941,-1,-1,-1,0.9624060150375939,True,228
168,Intermediate Algebra,3,True,True,True,True,3574,1582,3489,1496,\dfrac{10}{11},\dfrac{10}{11},\frac{10}{11},0.442641298265249,True,233
169,Algebra,3,True,True,True,True,803,784,746,730,6 + 9i,6 + 9i,6+9i,0.9763387297633873,True,173
170,Intermediate Algebra,3,False,True,True,True,8264,4659,8191,4591,", i feel confident that the greatest integer less than (√7 + √5)^6 is 13,535",13535,13535,0.5637705711519845,True,204
171,Intermediate Algebra,3,True,True,True,True,6112,2491,6033,2414,10,10,10,0.4075589005235602,True,218
172,Precalculus,3,True,True,True,True,4671,2404,4576,2315,\frac{8}{15},\dfrac{8}{15},\frac{8}{15},0.5146649539713124,True,247
173,Algebra,3,True,True,True,True,1698,1506,1622,1432,-120,-120,-120,0.8869257950530035,True,212
174,Intermediate Algebra,3,True,True,True,True,6626,2545,6517,2429,15,15,15,0.38409296709930574,True,278
175,Number Theory,3,True,True,True,False,1951,1340,1868,1264,2,3,2,0.6868272680676576,False,222
176,Prealgebra,3,True,True,True,True,1525,1125,1449,1054,\frac{33}{100},\dfrac{33}{100},\dfrac{33}{100},0.7377049180327869,True,204
177,Algebra,3,True,True,True,True,1358,1168,1242,1064,16,16,16,0.8600883652430045,True,292
178,Prealgebra,3,True,True,True,True,1867,2121,1786,2044,6,6,6,1.1360471344402785,True,212
179,Number Theory,3,True,True,False,True,2624,1634,2564,1577,4343,4343,4343_6,0.6227134146341463,False,173
180,Number Theory,3,False,True,False,True,8260,2597,8191,2536,". i don't see any gaps in the reasoning now – we considered all necessary conditions, verified through multiple methods (divisibility rules, direct enumeration of candidates in order), checked for smaller numbers that might have been missed, and confirmed with actual division",2220,2220,0.31440677966101693,False,190
181,Intermediate Algebra,3,True,True,True,True,5515,1919,5404,1807,2k,2k,2k,0.34796010879419764,True,289
182,Precalculus,3,False,False,False,False,8334,8331,8191,8191,. i need to think about it,|OA|=sin84° / sin55°,55^\circ,0.9996400287976962,True,324
183,Precalculus,3,True,True,True,True,5319,1545,5232,1459,120,120,120^\circ,0.290468133107727,True,236
184,Geometry,3,True,True,True,True,2145,1286,2060,1204,76,76,76^\circ,0.5995337995337995,True,229
185,Precalculus,3,True,True,False,True,1295,1506,1190,1388,C,C,\text{(C)},1.162934362934363,False,287
186,Counting & Probability,3,True,True,True,True,2241,2080,2170,2017,3,3,3,0.928157072735386,True,200
187,Algebra,3,True,True,True,True,2060,1439,1980,1361,11,11,11,0.6985436893203884,True,219
188,Precalculus,3,True,True,True,True,1624,1089,1495,966,y = -2x,y = -2x,y = -2x,0.6705665024630542,True,314
189,Prealgebra,3,True,True,True,True,1428,1399,1357,1327,2,2,2,0.9796918767507002,True,202
190,Algebra,3,True,True,True,True,1323,1048,1245,976,3\sqrt{13},3\sqrt{13},3\sqrt{13},0.7921390778533636,True,214
191,Intermediate Algebra,3,True,True,True,True,4925,2800,4818,2701,34,34,34,0.5685279187817259,True,259
192,Precalculus,3,True,True,True,True,6180,2892,6039,2750,\begin{pmatrix} -\dfrac{1}{3} \\ \dfrac{2}{3} \\ \dfrac{5}{3} \end{pmatrix},\begin{pmatrix} -\dfrac{1}{3} \\ \dfrac{2}{3} \\ \dfrac{5}{3} \end{pmatrix},\begin{pmatrix} -1/3 \\ 2/3 \\ 5/3 \end{pmatrix},0.4679611650485437,True,333
193,Intermediate Algebra,3,True,True,True,True,2584,2171,2467,2061,16,16,16,0.8401702786377709,True,291
194,Algebra,3,True,True,True,True,1833,1252,1767,1187,11,11,11,0.6830332787779596,True,193
195,Algebra,3,True,True,True,True,1748,1190,1661,1110,1,1,1,0.6807780320366132,True,229
196,Intermediate Algebra,3,True,True,True,True,4965,3357,4852,3246,-256,-256,-256,0.6761329305135951,True,286
197,Algebra,3,True,True,True,True,1863,1208,1797,1145,14,14,14,0.6484165324745035,True,191
198,Intermediate Algebra,3,False,True,False,True,8321,5029,8191,4914,. i need to think about it,2,2,0.6043744742218483,False,314
199,Algebra,3,True,True,True,True,1827,1597,1745,1518,x^3 + 3x - 6,x^3 + 3x - 6,x^3+3x-6,0.8741105637657361,True,224
200,Precalculus,3,True,True,True,True,6409,7280,6171,7153,30,30,30^\circ,1.1359026369168357,True,435
201,Prealgebra,3,True,True,True,True,1311,887,1186,785,60,60,60,0.6765827612509535,True,309
202,Geometry,3,True,True,True,True,2525,1644,2357,1479,\frac{\sqrt{21}}{5},\dfrac{\sqrt{21}}{5},\frac{\sqrt{21}}{5},0.6510891089108911,True,390
203,Algebra,3,True,True,True,True,1448,1121,1322,1003,\frac{3}{4},\dfrac{3}{4},\frac 34,0.774171270718232,True,310
204,Algebra,3,True,True,True,True,3410,1559,3269,1419,3,3,3,0.45718475073313786,True,349
205,Number Theory,3,True,True,True,True,2604,1637,2491,1528,\frac{639}{40},\frac{639}{40},\frac{639}{40},0.6286482334869432,True,285
206,Prealgebra,3,False,True,False,True,8456,6686,8191,6424,. i need to think about it,2,2,0.7906811731315042,False,596
207,Algebra,3,True,True,True,True,1270,950,1207,889,\frac{\sqrt{3}}{3},\frac{\sqrt{3}}{3},\frac{\sqrt{3}}{3},0.7480314960629921,True,183
208,Algebra,3,True,True,True,True,2125,1707,2043,1629,4,4,4,0.8032941176470588,True,219
209,Precalculus,3,True,True,True,True,2671,2113,2547,1989,3\sqrt{5},3\sqrt{5},3 \sqrt{5},0.791089479595657,True,307
210,Precalculus,3,True,True,True,False,1473,1541,1371,1442,\begin{pmatrix} \dfrac{16}{49} \\[0.5em] \dfrac{48}{49} \\[0.5em] \dfrac{24}{49} \end{pmatrix},\dfrac{8}{7},\begin{pmatrix} 16/49 \\ 48/49 \\ 24/49 \end{pmatrix},1.0461642905634758,False,258
211,Counting & Probability,3,True,True,True,True,1370,1114,1274,1025,210,210,210,0.8131386861313868,True,254
212,Intermediate Algebra,3,False,True,False,True,8286,3850,8191,3758,. i need to think about it,1,1,0.464639150374125,False,249
213,Precalculus,3,True,True,True,True,1691,2590,1606,2513,1 - 12i,1 - 12i,1 - 12i,1.5316380839739798,True,223
214,Prealgebra,3,True,True,True,True,1095,958,1008,875,\frac{3}{2},\frac{3}{2},\frac{3}{2},0.8748858447488584,True,228
215,Geometry,3,True,True,True,True,1477,1341,1291,1155,6\sqrt{2},6\sqrt{2},6\sqrt{2},0.9079214624238321,True,420
216,Intermediate Algebra,3,True,True,True,True,3816,1704,3696,1584,-5,-5,-5,0.44654088050314467,True,298
217,Prealgebra,3,True,True,True,True,5066,2320,5005,2263,3,3,3,0.4579549940781682,True,183
218,Precalculus,3,True,True,True,True,7118,3321,7052,3258,\dfrac{1}{8},\dfrac{1}{8},\frac{1}{8},0.4665636414723237,True,186
219,Number Theory,3,True,True,False,False,2022,1497,1963,1433,4210,4210,4210_{5},0.7403560830860534,True,177
220,Geometry,3,True,True,True,True,1400,990,1319,907,2,2,2,0.7071428571428572,True,225
221,Algebra,3,True,True,True,False,7179,7411,7113,7349,36,32,36,1.032316478618192,False,195
222,Intermediate Algebra,3,True,True,True,True,2494,1898,2412,1821,50,50,50,0.7610264635124299,True,220
223,Algebra,3,True,True,True,True,1067,1428,974,1341,3,3,3,1.338331771321462,True,246
224,Intermediate Algebra,3,True,True,True,True,4593,2148,4510,2066,9,9,9,0.4676681907250163,True,227
225,Algebra,3,True,True,True,True,1201,943,1086,835,9,9,9,0.7851790174854288,True,284
226,Prealgebra,3,True,True,True,True,3172,2390,3019,2255,41,41,41,0.7534678436317781,True,356
227,Prealgebra,3,True,True,True,True,2086,1626,1995,1535,4,4,4,0.7794822627037392,True,237
228,Algebra,3,True,True,True,True,2787,2134,2710,2059,\frac{\sqrt{3}}{3},\dfrac{\sqrt{3}}{3},\frac{\sqrt{3}}{3},0.7656978830283458,True,211
229,Geometry,3,False,True,True,True,8486,5032,8191,4734,30 degrees,30,30^\circ,0.5929766674522743,True,637
230,Number Theory,3,True,True,True,True,4275,1653,4209,1585,0.0000672,0.0000672,.0000672,0.38666666666666666,True,194
231,Algebra,3,True,True,True,True,1570,1328,1494,1259,2,2,2,0.845859872611465,True,209
232,Prealgebra,3,True,True,True,True,1443,1099,1359,1026,120,120,120,0.7616077616077616,True,222
233,Prealgebra,3,True,True,True,False,2116,6052,1757,5699,29,24,29,2.8601134215500945,False,669
234,Algebra,3,True,True,True,True,1383,1166,1313,1101,11,11,11,0.8430947216196674,True,192
235,Prealgebra,3,False,False,False,False,8388,8377,8191,8191,. i need to think about it,还是2+11=13,-9,0.998688602765856,True,450
236,Number Theory,3,False,True,True,True,8298,4428,8191,4325,should be 6,6,6,0.5336225596529284,True,274
237,Prealgebra,3,True,True,True,True,2249,1804,2185,1744,3,3,3,0.802134281903068,True,180
